UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-FROM VEHICLE,090311443,01/31/2009,3030 HEADLAND DR SW,408,Greenbriar,R,33.68841,-84.48742,
LARCENY-FROM VEHICLE,090310043,01/31/2009,1284 W PACES FERRY RD NW,202,West Paces Ferry/Northside,A,33.84876,-84.42951,
LARCENY-FROM VEHICLE,090312148,01/31/2009,225 HAMILTON E HOLMES DR NW @DOUGLAS HIGH SCHOOL,104,Center Hill,J,33.76115,-84.4682,
LARCENY-FROM VEHICLE,090310009,01/31/2009,COURTLAND ST NE / HARRIS ST NE,507,Downtown,M,33.76094,-84.38418,
LARCENY-FROM VEHICLE,090311725,01/31/2009,1424 W PACES FERRY RD NW,201,Paces,A,33.84628,-84.4343,
LARCENY-FROM VEHICLE,090311804,01/31/2009,146 ROGERS ST NE,607,Kirkwood,O,33.75761,-84.32942,
LARCENY-FROM VEHICLE,090311927,01/31/2009,50 CLIFTON ST SE,608,Kirkwood,O,33.75196,-84.33154,
LARCENY-FROM VEHICLE,090310552,01/31/2009,208 HOWARD ST SE,608,Kirkwood,O,33.74912,-84.32352,
LARCENY-FROM VEHICLE,090312039,01/31/2009,800 MIAMI CIR NE,204,Lindbergh/Morosgo,B,33.83098,-84.36329,
LARCENY-FROM VEHICLE,090311659,01/31/2009,950 MARIETTA ST NW,501,Marietta Street Artery,E,33.77689,-84.40807,
LARCENY-FROM VEHICLE,090311761,01/31/2009,91 VINE ST NW,101,Vine City,L,33.75716,-84.40759,
LARCENY-FROM VEHICLE,090311533,01/31/2009,1000 NEW TOWN CIR SE,611,Thomasville Heights,Z,33.70823,-84.35912,
LARCENY-FROM VEHICLE,090311084,01/31/2009,3200 STONE RD SW,408,Greenbriar,R,33.6697,-84.49403,
LARCENY-FROM VEHICLE,090312001,01/31/2009,VINE ST SW / FAIR ST SW,107,Atlanta University Center,T,33.74931,-84.40789,
LARCENY-FROM VEHICLE,090310182,01/31/2009,931 MONROE DR NE,505,Midtown,E,33.77973,-84.3676,
LARCENY-FROM VEHICLE,090311043,01/31/2009,3724 FORREST PARK RD SE,310,South River Gardens,Z,33.6535,-84.35636,
LARCENY-FROM VEHICLE,090311060,01/31/2009,210 AUBURN AVE NE,509,Downtown,M,33.75563,-84.38092,
LARCENY-NON VEHICLE,090311818,01/31/2009,1115 GREENHAVEN DR SE,608,The Villages at East Lake,O,33.74137,-84.31122,
LARCENY-NON VEHICLE,090310978,01/31/2009,3730 CARMIA DR SW,410,Princeton Lakes,P,33.65573,-84.5109,
LARCENY-NON VEHICLE,090301598,01/31/2009,821 ERIN AVE SW,312,Capitol View,X,33.71947,-84.41486,
LARCENY-NON VEHICLE,090311150,01/31/2009,500 CLEVELAND AVE SE,307,Browns Mill Park,Z,33.68206,-84.36784,
LARCENY-NON VEHICLE,090310784,01/31/2009,150 WALTON ST,506,Downtown,M,33.75812,-84.39292,
LARCENY-NON VEHICLE,090311597,01/31/2009,436 MATHEWSON PL SW,402,Westview,T,33.74327,-84.43601,
LARCENY-NON VEHICLE,090310130,01/31/2009,415 ARMOUR DR NE,210,,F,33.81267,-84.37412,
LARCENY-NON VEHICLE,090310993,01/31/2009,1150 PEACHTREE ST NE,502,Midtown,E,33.78595,-84.3837,
LARCENY-NON VEHICLE,090310094,01/31/2009,3131 CAMPBELLTON RD SW,407,Southwest,R,33.69258,-84.49266,
LARCENY-NON VEHICLE,090310677,01/31/2009,1815 MARTIN L KING JR DR NW,402,,I,33.75111,-84.44652,
LARCENY-NON VEHICLE,090311225,01/31/2009,3 GILBERT TRL NE,510,Old Fourth Ward,M,33.76864,-84.37949,
AUTO THEFT,090311860,01/31/2009,3041 LANDRUM DR SW,407,Southwest,R,33.70649,-84.48782,
AUTO THEFT,090311790,01/31/2009,1404 METROPOLITAN PKWY SW,312,Capitol View Manor,X,33.71649,-84.40761,
AUTO THEFT,090310639,01/31/2009,3496 RUBY H HARPER BLVD SE,310,Blair Villa/Poole Creek,Z,33.65933,-84.38019,
AUTO THEFT,090310939,01/31/2009,3315 PEACHTREE RD NE,206,Peachtree Park,B,33.84642,-84.36815,
AUTO THEFT,090310548,01/31/2009,495 CHEROKEE AVE SE,304,Grant Park,W,33.74103,-84.37391,
AUTO THEFT,090311339,01/31/2009,JONESBORO RD SE / I-285 EB EXPY SE,310,South River Gardens,Z,33.65199,-84.36701,
AUTO THEFT,090311194,01/31/2009,294 AUGUSTA AVE SE,304,Grant Park,W,33.73402,-84.37812,
AUTO THEFT,090311091,01/31/2009,490 GLENN ST SW,301,Mechanicsville,V,33.73805,-84.40262,
AUTO THEFT,090310822,01/31/2009,1718 MELROSE DR SW,311,Sylvan Hills,X,33.70817,-84.42065,
AUTO THEFT,090311512,01/31/2009,3820 BRANCH DR SW,413,Fairburn Road/Wisteria Lane,H,33.74968,-84.51279,
AUTO THEFT,090301888,01/30/2009,387 HILL ST SE,304,Grant Park,W,33.74436,-84.37974,
AUTO THEFT,090300175,01/30/2009,2841 GREENBRIAR PKWY SW,408,Greenbriar,R,33.68845,-84.49328,
AUTO THEFT,090300560,01/30/2009,482 HARDENDORF AVE NE,605,Lake Claire,N,33.76699,-84.33193,
AUTO THEFT,090301066,01/30/2009,311 PEACHTREE HILLS AVE,206,Peachtree Hills,B,33.81656,-84.37737,
AUTO THEFT,090302060,01/30/2009,678 PEACHTREE ST NE,503,Midtown,E,33.77306,-84.38494,
AUTO THEFT,090301613,01/30/2009,BANKHEAD COURT,110,Bankhead Courts,H,33.79235,-84.50097,
AUTO THEFT,090301663,01/30/2009,311 SCOTT ST SW,412,,I,33.74956,-84.49595,
AUTO THEFT,090308082,01/30/2009,4225 CAR RENTAL RD,701,,,33.63739,-84.45556,
AUTO THEFT,090300008,01/30/2009,535 LEE ST SW,401,West End,T,33.74042,-84.41435,
AUTO THEFT,090300965,01/30/2009,BROTHERTON ST SW / FORSYTH ST SW,508,Downtown,M,33.7484,-84.39685,
AUTO THEFT,090300990,01/30/2009,MARLER WAY SW / ROGERS AVE SW,402,Westview,T,33.73731,-84.44267,
AUTO THEFT,090301283,01/30/2009,JONESBORO RD AT 285,310,South River Gardens,Z,33.65199,-84.36701,
LARCENY-NON VEHICLE,090300879,01/30/2009,1100 FAITH AVE SE,609,Ormewood Park,W,33.74354,-84.35162,
LARCENY-NON VEHICLE,090300332,01/30/2009,379 ATWOOD ST SW,401,West End,T,33.74465,-84.42887,
LARCENY-NON VEHICLE,090300576,01/30/2009,1182 FOUNTAIN DR SW,107,Just Us,T,33.75236,-84.42575,
LARCENY-NON VEHICLE,090301254,01/30/2009,1182 FOUNTAIN DR,107,Just Us,T,33.75236,-84.42575,
LARCENY-NON VEHICLE,090301146,01/30/2009,80 JESSE HILL JR DR SE,509,Downtown,M,33.75231,-84.38231,
AUTO THEFT,090302136,01/30/2009,395 PIEDMONT AVE NE @CIVIC CENTER,510,Old Fourth Ward,M,33.76574,-84.38188,
LARCENY-NON VEHICLE,090301398,01/30/2009,1250  W PACES FERRY RD,202,West Paces Ferry/Northside,A,33.84907,-84.43003,
LARCENY-NON VEHICLE,090301904,01/30/2009,1238 MARTIN LUTHER KING JRDR,103,Mozley Park,K,33.75328,-84.42792,
LARCENY-NON VEHICLE,090301119,01/30/2009,1734 DONALD LEE HOLLOWELL PKWY NW,105,Grove Park,J,33.7738,-84.44465,
LARCENY-NON VEHICLE,090301591,01/30/2009,1380 ATLANTIC DR,501,Atlantic Station,E,33.79282,-84.39779,
LARCENY-NON VEHICLE,090301247,01/30/2009,929 CHARLES ALLEN DR NE,505,Midtown,E,33.78119,-84.37151,
LARCENY-FROM VEHICLE,090301348,01/30/2009,2326 VENETIAN DR SW,407,Adams Park,R,33.71716,-84.46541,
LARCENY-FROM VEHICLE,090302220,01/30/2009,GRANT ST SE / BIGGERS ST SE,304,Grant Park,W,33.74812,-84.37662,
LARCENY-FROM VEHICLE,090302137,01/30/2009,201 MOURY AVE SW,305,The Villages at Carver,Y,33.71691,-84.39276,
LARCENY-FROM VEHICLE,090301135,01/30/2009,1252 FRANCIS ST NW,501,Home Park,E,33.78907,-84.39696,
LARCENY-FROM VEHICLE,090301112,01/30/2009,HUFF RD NW / HOWELL MILL RD NW,209,Berkeley Park,D,33.78777,-84.41182,
LARCENY-FROM VEHICLE,090301081,01/30/2009,12TH ST NE / PEACHTREE WALK NE,502,Midtown,E,33.78456,-84.38628,
LARCENY-FROM VEHICLE,090302006,01/30/2009,2345 CHESHIRE BRIDGE RD NE;,601,Lindridge/Martin Manor,F,33.81906,-84.3513,
LARCENY-FROM VEHICLE,090301607,01/30/2009,1382 PEACHTREE ST NE,502,Midtown,E,33.79217,-84.38665,
LARCENY-FROM VEHICLE,090302079,01/30/2009,3459 BUCKHEAD LOOP,203,North Buckhead,B,33.85119,-84.36313,
LARCENY-FROM VEHICLE,090301682,01/30/2009,WALL ST SE / PRYOR ST SE,509,Downtown,M,33.75328,-84.38948,
LARCENY-FROM VEHICLE,090301971,01/30/2009,199 PETERS ST SW,508,Castleberry Hill,M,33.74923,-84.40005,
LARCENY-FROM VEHICLE,090300714,01/30/2009,2851 LOOKOUT PL NE,206,Garden Hills,B,33.83244,-84.37444,
LARCENY-FROM VEHICLE,090300704,01/30/2009,929 HALL PL NW,102,Knight Park/Howell Station,K,33.78037,-84.42809,
LARCENY-FROM VEHICLE,090301195,01/30/2009,3360 PEACHTREE RD NE,203,North Buckhead,B,33.84694,-84.36814,
LARCENY-FROM VEHICLE,090300957,01/30/2009,2525 PIEDMONT RD NE @HOME DEPOT,204,Lindbergh/Morosgo,B,33.8245,-84.366,
LARCENY-FROM VEHICLE,090300978,01/30/2009,HOWARD ST SE / BIXBY ST SE,608,Kirkwood,O,33.74938,-84.32326,
LARCENY-FROM VEHICLE,090301392,01/30/2009,828 RALPH MCGILL BLVD NE,604,Poncey-Highland,N,33.76763,-84.36058,
LARCENY-FROM VEHICLE,090300908,01/30/2009,2040 DEKALB AVE NE;,605,Lake Claire,N,33.76303,-84.32114,
LARCENY-FROM VEHICLE,090301665,01/30/2009,1051 W PEACHTREE ST NE,502,Midtown,E,33.78346,-84.38772,
LARCENY-FROM VEHICLE,090300626,01/30/2009,122 BOWEN CIR SW,305,High Point,Y,33.71581,-84.39507,
LARCENY-FROM VEHICLE,090300092,01/30/2009,660 PEACHTREE ST,505,Capitol View,X,33.71208,-84.41314,
LARCENY-FROM VEHICLE,090300090,01/30/2009,176 FAIRBURN RD NW,413,Adamsville,H,33.76057,-84.50534,
LARCENY-FROM VEHICLE,090300251,01/30/2009,55 TRINITY AVE SW,508,Downtown,M,33.74746,-84.38937,
LARCENY-FROM VEHICLE,090300467,01/30/2009,672 BONAVENTURE AVE NE,604,Poncey-Highland,N,33.77282,-84.36129,
LARCENY-FROM VEHICLE,090300381,01/30/2009,759 STOKESWOOD AVE SE,610,East Atlanta,W,33.7336,-84.34496,
LARCENY-FROM VEHICLE,090300602,01/30/2009,220 PINE ST NW,506,Downtown,M,33.76773,-84.39438,
LARCENY-NON VEHICLE,090301822,01/30/2009,464 MORELAND AVE NE,604,Inman Park,N,33.76686,-84.34915,
LARCENY-NON VEHICLE,090301693,01/30/2009,3885 JONESBORO RD SE,310,South River Gardens,Z,33.64883,-84.36584,
LARCENY-NON VEHICLE,090301672,01/30/2009,3500 PEACHTREE RD NE,203,North Buckhead,B,33.85302,-84.36278,
LARCENY-NON VEHICLE,090301664,01/30/2009,1275 CAROLINE ST NE,607,Edgewood,O,33.75674,-84.34619,
LARCENY-NON VEHICLE,090301657,01/30/2009,2841 GREENBRIAR PKWY SW,408,Greenbriar,R,33.68677,-84.49773,
LARCENY-NON VEHICLE,090301596,01/30/2009,1801 HOWELL MILL RD NW,208,Berkeley Park,D,33.80448,-84.41348,
LARCENY-NON VEHICLE,090300763,01/30/2009,595 PIEDMONT AVE,510,Old Fourth Ward,M,33.77067,-84.38023,
BURGLARY-NONRES,090301527,01/30/2009,492 RANKIN ST NE,511,Old Fourth Ward,M,33.76744,-84.37104,
BURGLARY-RESIDENCE,090301490,01/30/2009,3200 STONE RD SW,408,Greenbriar,R,33.6697,-84.49403,
BURGLARY-RESIDENCE,090301541,01/30/2009,120 LOGAN ST SE,302,Capitol Gateway,V,33.74473,-84.38358,
BURGLARY-RESIDENCE,090301748,01/30/2009,805 MAGNOLIA WAY NW,101,Vine City,L,33.75823,-84.41405,
BURGLARY-RESIDENCE,090302101,01/30/2009,2040 DEKALB AVE NE,605,Lake Claire,N,33.7625,-84.32071,
BURGLARY-RESIDENCE,090301824,01/30/2009,727 KENNOLIA DR SW,411,Westwood Terrace,I,33.73519,-84.44929,
BURGLARY-NONRES,090300264,01/30/2009,2351 PEACHTREE RD,206,Peachtree Hills,B,33.81885,-84.38859,
BURGLARY-NONRES,090301395,01/30/2009,211 PHARR RD,206,Garden Hills,B,33.83659,-84.3803,
BURGLARY-NONRES,090282078,01/30/2009,98 ANDERSON AVE NW @TURNER MIDDLE SCHOOL,104,Dixie Hills,J,33.75652,-84.45068,
BURGLARY-NONRES,090300498,01/30/2009,211 PHARR RD NE,206,Garden Hills,B,33.83659,-84.3803,
BURGLARY-RESIDENCE,090300748,01/30/2009,1047 OAK ST SW,401,West End,T,33.74093,-84.42217,
LARCENY-NON VEHICLE,090300928,01/30/2009,2045 DONALD LEE HOLLOWELL PKWY NW,105,Grove Park,J,33.7774,-84.45214,
LARCENY-NON VEHICLE,090290886,01/30/2009,12 BROAD ST,506,Downtown,M,33.7532,-84.39201,
BURGLARY-RESIDENCE,090301133,01/30/2009,415 ARMOUR DR NE,210,,F,33.81267,-84.37412,
BURGLARY-RESIDENCE,090300669,01/30/2009,1225 CAPITOL AVE SW,305,South Atlanta,Y,33.72112,-84.38853,
BURGLARY-RESIDENCE,090301120,01/30/2009,1392 HARTFORD AVE SW,312,Capitol View,X,33.7169,-84.41688,
BURGLARY-RESIDENCE,090301144,01/30/2009,1240 PRINCESS AVE SW,403,Oakland City,S,33.72084,-84.42529,
BURGLARY-RESIDENCE,090301148,01/30/2009,659 S EVELYN PL NW,105,Grove Park,J,33.77289,-84.44558,
BURGLARY-RESIDENCE,090301200,01/30/2009,1688 BEECHER ST SW,403,Cascade Avenue/Road,S,33.73347,-84.44304,
BURGLARY-RESIDENCE,090301253,01/30/2009,445 CLEVELAND AVE SE,309,Rosedale Heights,Z,33.68149,-84.37152,
BURGLARY-RESIDENCE,090301323,01/30/2009,701 HIGHLAND AVE NE,511,Old Fourth Ward,M,33.76124,-84.36391,
BURGLARY-RESIDENCE,090301016,01/30/2009,966 GRANT TER SE,302,Peoplestown,V,33.7281,-84.37947,
BURGLARY-RESIDENCE,090300754,01/30/2009,762 FRASER ST SE,302,Summerhill,V,33.73376,-84.38626,
BURGLARY-RESIDENCE,090300756,01/30/2009,66 POPE ST SW,302,Peoplestown,V,33.72561,-84.39018,
BURGLARY-RESIDENCE,090300831,01/30/2009,475 BUCKHEAD AVE,205,Buckhead Village,B,33.83791,-84.37392,
BURGLARY-RESIDENCE,090302159,01/30/2009,164 MURRAY HILL AVE NE,607,Kirkwood,O,33.75703,-84.3162,
BURGLARY-RESIDENCE,090302121,01/30/2009,2680 W MAIN ST NW,209,Riverside,D,33.81432,-84.47545,
BURGLARY-RESIDENCE,090300622,01/30/2009,327 LOGAN,304,Grant Park,W,33.74426,-84.37689,
BURGLARY-RESIDENCE,090301353,01/30/2009,1000 NORTHSIDE DR NW,501,Home Park,E,33.78194,-84.40758,
BURGLARY-RESIDENCE,090301409,01/30/2009,301 ANSLEY VILLA DR NE,602,Piedmont Heights,F,33.80647,-84.37567,
BURGLARY-RESIDENCE,090301336,01/30/2009,1520 PINEHURST DR SW,406,Venetian Hills,S,33.71435,-84.45173,
BURGLARY-RESIDENCE,090301531,01/30/2009,2190 BUTNER RD SW,410,Fairburn,P,33.69235,-84.52012,
BURGLARY-RESIDENCE,090301324,01/30/2009,1047 SPARKS ST SW,403,Oakland City,S,33.72741,-84.42167,
BURGLARY-RESIDENCE,090301675,01/30/2009,1100 FAITH AVE SE,609,Ormewood Park,W,33.74354,-84.35162,
BURGLARY-RESIDENCE,090301859,01/30/2009,176 ELECTRIC AVE NW,101,Vine City,L,33.7595,-84.40443,
BURGLARY-RESIDENCE,090301914,01/30/2009,611 OLD WHEAT ST NE,511,Old Fourth Ward,M,33.75559,-84.36731,
BURGLARY-RESIDENCE,090291204,01/30/2009,4684 CAMPBELLTON RD SW,410,Arlington Estates,P,33.6944,-84.54124,
BURGLARY-RESIDENCE,090291211,01/30/2009,2868 FAIRBURN PL SW,410,Ben Hill,P,33.67335,-84.5191,
BURGLARY-RESIDENCE,090300647,01/30/2009,1033 HOLLYWOOD RD NW,106,Almond Park,G,33.78308,-84.45882,
BURGLARY-RESIDENCE,090300526,01/30/2009,591 JONES AVE NW,111,English Avenue,L,33.7645,-84.40686,
BURGLARY-NONRES,090300791,01/30/2009,1170 COLLIER RD STE B,208,Underwood Hills,D,33.81118,-84.42547,
BURGLARY-NONRES,090300765,01/30/2009,211 CLEVELAND AVE SW,307,Browns Mill Park,Z,33.68184,-84.39568,
BURGLARY-RESIDENCE,090190818,01/30/2009,2353 JONES ROAD,109,Collier Heights,I,33.77837,-84.49177,
AGG ASSAULT,090301724,01/30/2009,516 ARTHUR STREET,303,Pittsburgh,V,33.72797,-84.40452,
AGG ASSAULT,090300721,01/30/2009,1080 PEACHTREE ST NE;,502,Midtown,E,33.78398,-84.38339,
AGG ASSAULT,090300277,01/30/2009,309 ANDERSON AVE NW,104,Dixie Hills,J,33.76355,-84.45099,
AGG ASSAULT,090300170,01/30/2009,971 PIEDMONT AVE NE;,502,Midtown,E,33.78116,-84.38025,
AGG ASSAULT,090301160,01/30/2009,714 METROPOLITAN PKWY SW,303,Pittsburgh,V,33.73554,-84.4078,
HOMICIDE,090301518,01/30/2009,233 HENDRIX AVE SW,301,Mechanicsville,V,33.73255,-84.39567,
ROBBERY-COMMERCIAL,090301369,01/30/2009,714 LINDBERGH DR NE,204,Lindbergh/Morosgo,B,33.82073,-84.36436,
ROBBERY-RESIDENCE,090302128,01/30/2009,2187 BOLTON DR NW,209,Bolton,D,33.81613,-84.44189,
ROBBERY-PEDESTRIAN,090301725,01/30/2009,150 PINE ST NE,507,Downtown,M,33.76774,-84.38249,
ROBBERY-PEDESTRIAN,090302057,01/30/2009,180 CLEVELAND AVE,309,Glenrose Heights,Z,33.68067,-84.39401,
ROBBERY-PEDESTRIAN,090301289,01/30/2009,728 NEAL STREET NW,111,English Avenue,L,33.76627,-84.41138,
ROBBERY-PEDESTRIAN,090290631,01/29/2009,2200 MEADOR AVE SE,307,Lakewood,Z,33.69411,-84.38019,
ROBBERY-PEDESTRIAN,090291960,01/29/2009,646 MAGNOLIA ST NW,101,Vine City,L,33.75803,-84.40871,
ROBBERY-RESIDENCE,090291416,01/29/2009,3804 MARTIN LUTHER KING JR DRIVE,110,Old Gordon,H,33.76797,-84.51322,
ROBBERY-RESIDENCE,090290972,01/29/2009,76 HAYGOOD AVE,302,Peoplestown,V,33.72654,-84.38613,
ROBBERY-COMMERCIAL,090291247,01/29/2009,485 MORELAND AVE NE,604,Candler Park,N,33.76734,-84.34893,
ROBBERY-COMMERCIAL,090290815,01/29/2009,415 MEMORIAL DR SE,304,Grant Park,W,33.7467,-84.37399,
ROBBERY-PEDESTRIAN,090291708,01/29/2009,1055 DEKALB AVE NE @INMAN PARK MARTA STA,604,Reynoldstown,N,33.75737,-84.35302,
AGG ASSAULT,090291911,01/29/2009,FULTON INDUSTRIAL BLVD/MARTIN LUTHER KING JR DRIVE,110,Bankhead/Bolton,H,33.78989,-84.49615,
AGG ASSAULT,090270976,01/29/2009,1050 LINAM ST SW,302,Peoplestown,V,33.72581,-84.38589,
AGG ASSAULT,090291590,01/29/2009,195 FAIRBURN RD SW,413,Fairburn Mays,H,33.74976,-84.50784,
AGG ASSAULT,090290110,01/29/2009,198 CLAY ST SE,608,Kirkwood,O,33.7479,-84.33034,
AGG ASSAULT,090291850,01/29/2009,1959 LAKEWOOD AVE SE,306,Lakewood Heights,Y,33.70229,-84.38496,
AGG ASSAULT,090291653,01/29/2009,691 E SIDE AVE SE,610,East Atlanta,W,33.73532,-84.34019,
AGG ASSAULT,090291736,01/29/2009,1061 LEE STREET SW,403,Oakland City,S,33.7258,-84.41957,
